"","state_GEOID","State","pop_s","pop_wra_s","pct_wra_hisplatino","pct_wra_black","pct_wra_white","pct_wra_asian","pct_wra_native","pct_wra_pacificisland","pct_wra_mixed","pct_wra_other","pop_wra_hisplatino","pop_wra_black","pop_wra_white","pop_wra_asian","pop_wra_native","pop_wra_pacificisland","pop_wra_mixed","pop_wra_other","pop_hisplatino_alone","pop_black_alone","pop_white_alone","pop_asian_alone","pop_native_alone","pop_pacificisland_alone","pop_mixed_alone","pop_other_alone","pct_pop_hisplatino_alone","pct_pop_black_alone","pct_pop_white_alone","pct_pop_asian_alone","pct_pop_native_alone","pct_pop_pacificisland_alone","pct_pop_mixed_alone","pct_pop_other_alone"
"1",1,"Alabama",4876250,952309,4.68744913678228,30.8099576923037,63.3350099600025,1.69514306805879,0.545726229616648,0.0696202598106287,1.9166047994926,1.6279379907152,44639,293406,603145,16143,5197,663,18252,15503,208626,1291524,3194929,65410,22740,1603,83335,8083,4.27841066393233,26.4860087157139,65.5202050756216,1.34139964111766,0.466341963599077,0.0328736221481671,1.70899769289926,0.165762624967957
"2",2,"Alaska",737068,145865,8.06910499434409,3.34213142289103,61.3114866486134,7.4829465601755,15.9304836664039,1.42871833544716,8.58807801734481,1.91615534912419,11770,4875,89432,10915,23237,2084,12527,2795,51870,22857,446897,44917,106271,9013,53564,1679,7.03734255184054,3.10107072888797,60.6317191900883,6.09401032197843,14.4180726880016,1.22281797608904,7.26717209266988,0.227794450444192
"3",4,"Arizona",7050299,1359390,37.4617291579311,5.17871986699917,72.8422307064198,4.28008150714659,5.21682519365303,0.246728311963454,4.06049772324351,8.17491669057445,509251,70399,990210,58183,70917,3354,55198,111129,2208663,297107,3857007,226597,276396,12878,161029,10622,31.3272245616817,4.21410496207324,54.706998951392,3.21400553366602,3.92034437121036,0.182658919855739,2.28400242315964,0.150660276961303
"4",5,"Arkansas",2999370,578340,8.80191582805962,17.7087872185911,73.1194453089878,2.08648891655428,0.876128229069406,0.379361621191687,2.50717570979009,3.32261299581561,50905,102417,422879,12067,5067,2194,14500,19216,224130,456899,2172453,44927,17652,8614,69837,4858,7.4725692395403,15.2331656314493,72.4303103651767,1.49788122172323,0.58852358995389,0.287193643998573,2.32838896168195,0.161967346476093
"5",6,"California",39283497,8061728,43.6866637028687,5.91385618567136,55.9426837521683,15.6987558994796,0.778170635377428,0.438975366075363,5.12566288517797,16.10189527605,3521900,476759,4509947,1265591,62734,35389,413217,1298091,15327688,2169155,14605312,5610931,140831,140788,1188673,100119,39.018135274464,5.52179710477405,37.1792562154026,14.283175960633,0.358499142782528,0.35838968205911,3.02588387179481,0.254862748089866
"6",8,"Colorado",5610349,1141995,24.2487926829802,4.25956330807053,81.9088524905976,4.07751347422712,1.10954951641645,0.220578899207089,3.97444822437927,4.44949408710196,276920,48644,935395,46565,12671,2519,45388,50813,1208172,221526,3818321,174660,30393,7618,139336,10323,21.5347030995754,3.94852441443482,68.0585289792132,3.11317531226667,0.541731004613082,0.135784779164362,2.48355316220078,0.183999248531598
"7",9,"Connecticut",3575074,672214,20.1388248385187,12.7501063649374,70.2347764253645,6.1957947915396,0.273871118423597,0.0508766553508258,3.88655993478267,6.60801470960141,135376,85708,472128,41649,1841,342,26126,44420,574240,354120,2392013,159989,5596,754,76401,11961,16.0623248637651,9.90524951371636,66.9080695952028,4.47512415127631,0.156528228506599,0.0210904725328762,2.1370466737192,0.334566501280813
"8",10,"Delaware",957248,179247,11.152208963051,25.5775549939469,63.5848856605689,5.03104654471205,0.366533331101776,0.0485363771778607,3.07899155913349,2.312451533359,19990,45847,113974,9018,657,87,5519,4145,88364,207402,596497,36656,2825,330,22738,2436,9.23104566423748,21.6664855920305,62.3137368790533,3.82931069064652,0.29511683492679,0.0344738249648994,2.37535100621782,0.254479507922712
"9",11,"District of Columbia",692683,186335,10.3362223951485,38.6250570209569,47.3432259103228,6.0267797246894,0.292483967048595,0.0778168352698097,3.17868355381437,4.45595298789814,19260,71972,88217,11230,545,145,5923,8303,76191,314774,253373,27188,1418,307,16625,2807,10.9994037676686,45.4427205518253,36.578492614948,3.92502775439848,0.204711245981206,0.044320417853477,2.40008777463862,0.405235872686351
"10",12,"Florida",20901636,3820757,29.7496804952526,19.7552474548892,69.5145229073715,3.52765171927971,0.294548959800375,0.0832557527212539,2.99192018754399,3.832853018394,1136663,754800,2655981,134783,11254,3181,114314,146444,5346684,3202687,11266347,559988,41989,10389,399899,73653,25.5802177398937,15.3226618241749,53.9017472125148,2.6791587031752,0.200888581161781,0.0497042432467966,1.91324258062862,0.352379115204188
"11",13,"Georgia",10403847,2145691,10.3834615515468,35.6386823638632,53.4414787590571,4.83503915521853,0.372933474577654,0.069954154628975,2.53899559629043,3.10291649636411,222797,764696,1146689,103745,8002,1501,54479,66579,992394,3244348,5485855,410705,19382,5164,213189,32810,9.5387215901964,31.1841187207001,52.72910107194,3.94762629631135,0.186296472833559,0.0496354857967442,2.04913624739003,0.315364114831754
"12",15,"Hawaii",1422094,265483,12.378570379271,2.06792901993725,23.346127623991,34.8078784705612,0.357461683045619,11.4278503708335,26.2807788069293,1.71197402470215,32863,5490,61980,92409,949,30339,69771,4545,149118,24377,312722,524609,2241,133110,273742,2175,10.4858047358332,1.71416235494981,21.9902481833128,36.8898961672013,0.157584519729357,9.36014075018951,19.2492198124737,0.152943476310286
"13",16,"Idaho",1717750,330676,14.8223638848903,0.713689532956731,88.1219078493752,2.0805864350603,1.42979835246586,0.252513033906301,3.04920828847573,4.35229650775986,49014,2360,291398,6880,4728,835,10083,14392,215476,11316,1407883,23061,19027,2341,37227,1419,12.5440838305923,0.658768738174938,81.9608790569058,1.34251200698588,1.10766991704264,0.136282928249163,2.16719545917625,0.0826080628729443
